"ID","cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","cluster_assign","coeff","TISSUE_ID","REGO","VOUCHER","ALTERNATIVE_ID","GENUS","SPECIES","UPDATED_SP","REGION","LOCATION","STATE","LAT","LON","VoucherNotes"
"SAMAR_65908_Ct_broo",9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_3",0.9993,"ABTC112657","SAMAR65908","SAMAR_65908",NA,"Ctenotus","brooksi","brooksi","Australia","Rainbow Valley  11.7k E Mt Grevillea","NT",-24.33389,133.6353,NA
"SAMR_35905_Ct_taen",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,"cluster_6",0.9993,"ABTC00507","SAM35905","SAMR_35905","TAENA00507","Ctenotus","taeniatus","taeniatus","Australia","2k W Purni Bore campsite","SA",-26.283,136.083333,NA
"SAMR_42487_Ct_stra",9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_2",0.9993,"ABTC34061","SAM42487","SAMR_42487","STRAA34061","Ctenotus","strauchii","strauchii","Australia","1.5k E Wire Creek Bore","SA",-27.257,135.505,NA
"SAMR_42881_Ct_stra",9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_4",0.9993,"ABTC09125","SAM42881","SAMR_42881","STRAA09125","Ctenotus","strauchii","strauchii","Australia","30k E NOONBAH Station","QLD",-24.117,143.4167,NA
"SAMR_44903_Ct_stra",9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_2",0.9993,"ABTC34809","SAM44903","SAMR_44903","STRAA34809","Ctenotus","strauchii","strauchii","Australia","5k ENE Dulkaninna","SA",-29,138.505556,NA
"SAMR_44934_Ct_taen",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,"cluster_6",0.9993,"ABTC34819","SAM44934","SAMR_44934","TAENA34819","Ctenotus","taeniatus","taeniatus","Australia","10k SE Dalarinna Hill","SA",-29.758,138.667778,NA
"SAMR_44955_Ct_stra",9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_2",0.9993,"ABTC34858","SAM44955","SAMR_44955","STRAA34858","Ctenotus","strauchii","strauchii","Australia","1.5k SW Reedy Springs","SA",-29.545,139.4117,NA
"SAMR_45029_Ct_stra",9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_2",0.9993,"ABTC34967","SAM45029","SAMR_45029",NA,"Ctenotus","strauchii","strauchii","Australia","1.9k E Hislopp Dam","SA",-26.385,140.345,NA
"SAMR_46072_Ct_eucl",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.998688,0.000712473,9.994e-05,"cluster_6",0.998688,"ABTC58330","SAM46072","SAMR_46072","EUCLA58330","Ctenotus","euclae","euclae","Australia","L Gilles CP","SA",-33.093,136.693889,NA
"SAMR_46857_Ct_stra",9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_2",0.9993,"ABTC35912","SAM46857","SAMR_46857","STRAA35912","Ctenotus","strauchii","strauchii","Australia","10.9k NW Bitchera WH","SA",-26.524,134.4419,NA
